name,canonical
IGEBA Pêche,IGEBA Pêche
Infusion probiotique Mélisse,Infusion Mélisse 
Infusion probiotique Zest d'agrumes - 0.0°,Infusion Zest d'agrumes
Infusion probiotique Zest d'agrumes,Infusion Zest d'agrumes
Infusion probiotique menthe poivrée - 0.0°,Infusion menthe poivrée
Infusion probiotique menthe poivrée,Infusion menthe poivrée
Kéfir Gingembre,Gingembre
Kéfir Mangue Passion,Mangue Passion
Kéfir Pamplemousse,Pamplemousse
Kéfir de fruits Original,Original
Kéfir menthe citron vert,Menthe citron vert 
NIKO - Kéfir de fruits Gingembre,Gingembre
NIKO - Kéfir de fruits Mangue Passion,Mangue Passion
NIKO - Kéfir de fruits Menthe Citron-vert,Menthe citron vert 
Probiotic water Lemonbalm,Infusion Mélisse 
Probiotic water Peppermint,Infusion menthe poivrée
Water kefir Grapefruit,Pamplemousse
Water kefir Mango Passion,Mangue Passion
Water kefir Mint Lime,Menthe citron vert 
